Feature ID,Ranking (1 = most important),Feature
2,1,LEFT_EYE_OUTER_POS_x__kurtosis
9,1,LEFT_EYE_OUTER_POS_x__cid_ce__normalize_True
10,1,LEFT_EYE_OUTER_POS_y__abs_energy
20,1,LEFT_EYE_OUTER_DIST_x__kurtosis
22,1,LEFT_EYE_OUTER_DIST_x__standard_deviation
28,1,LEFT_EYE_OUTER_DIST_y__abs_energy
31,1,LEFT_EYE_OUTER_DIST_y__standard_deviation
35,1,LEFT_EYE_OUTER_DIST_y__c3__lag_1
38,1,RIGHT_EYE_OUTER_POS_x__kurtosis
45,1,RIGHT_EYE_OUTER_POS_x__cid_ce__normalize_True
47,1,RIGHT_EYE_OUTER_POS_y__kurtosis
58,1,RIGHT_EYE_OUTER_DIST_x__standard_deviation
59,1,RIGHT_EYE_OUTER_DIST_x__maximum
60,1,RIGHT_EYE_OUTER_DIST_x__autocorrelation__lag_1
65,1,RIGHT_EYE_OUTER_DIST_y__kurtosis
68,1,RIGHT_EYE_OUTER_DIST_y__maximum
69,1,RIGHT_EYE_OUTER_DIST_y__autocorrelation__lag_1
76,1,LEFT_SHOULDER_POS_x__standard_deviation
81,1,LEFT_SHOULDER_POS_x__cid_ce__normalize_True
82,1,LEFT_SHOULDER_POS_y__abs_energy
83,1,LEFT_SHOULDER_POS_y__kurtosis
85,1,LEFT_SHOULDER_POS_y__standard_deviation
86,1,LEFT_SHOULDER_POS_y__maximum
90,1,LEFT_SHOULDER_POS_y__cid_ce__normalize_True
98,1,LEFT_SHOULDER_DIST_x__c3__lag_1
105,1,LEFT_SHOULDER_DIST_y__autocorrelation__lag_1
108,1,LEFT_SHOULDER_DIST_y__cid_ce__normalize_True
110,1,RIGHT_SHOULDER_POS_x__kurtosis
117,1,RIGHT_SHOULDER_POS_x__cid_ce__normalize_True
118,1,RIGHT_SHOULDER_POS_y__abs_energy
119,1,RIGHT_SHOULDER_POS_y__kurtosis
140,1,RIGHT_SHOULDER_DIST_y__maximum
141,1,RIGHT_SHOULDER_DIST_y__autocorrelation__lag_1
143,1,RIGHT_SHOULDER_DIST_y__c3__lag_1
153,1,LEFT_ELBOW_POS_x__cid_ce__normalize_True
154,1,LEFT_ELBOW_POS_y__abs_energy
155,1,LEFT_ELBOW_POS_y__kurtosis
168,1,LEFT_ELBOW_DIST_x__autocorrelation__lag_1
177,1,LEFT_ELBOW_DIST_y__autocorrelation__lag_1
180,1,LEFT_ELBOW_DIST_y__cid_ce__normalize_True
184,1,RIGHT_ELBOW_POS_x__standard_deviation
189,1,RIGHT_ELBOW_POS_x__cid_ce__normalize_True
190,1,RIGHT_ELBOW_POS_y__abs_energy
191,1,RIGHT_ELBOW_POS_y__kurtosis
201,1,RIGHT_ELBOW_DIST_x__mean
204,1,RIGHT_ELBOW_DIST_x__autocorrelation__lag_1
213,1,RIGHT_ELBOW_DIST_y__autocorrelation__lag_1
217,1,LEFT_WRIST_POS_x__abs_energy
222,1,LEFT_WRIST_POS_x__autocorrelation__lag_1
227,1,LEFT_WRIST_POS_y__kurtosis
229,1,LEFT_WRIST_POS_y__standard_deviation
231,1,LEFT_WRIST_POS_y__autocorrelation__lag_1
234,1,LEFT_WRIST_POS_y__cid_ce__normalize_True
237,1,LEFT_WRIST_DIST_x__mean
240,1,LEFT_WRIST_DIST_x__autocorrelation__lag_1
247,1,LEFT_WRIST_DIST_y__standard_deviation
249,1,LEFT_WRIST_DIST_y__autocorrelation__lag_1
251,1,LEFT_WRIST_DIST_y__c3__lag_1
254,1,RIGHT_WRIST_POS_x__kurtosis
256,1,RIGHT_WRIST_POS_x__standard_deviation
258,1,RIGHT_WRIST_POS_x__autocorrelation__lag_1
262,1,RIGHT_WRIST_POS_y__abs_energy
263,1,RIGHT_WRIST_POS_y__kurtosis
264,1,RIGHT_WRIST_POS_y__mean
266,1,RIGHT_WRIST_POS_y__maximum
276,1,RIGHT_WRIST_DIST_x__autocorrelation__lag_1
278,1,RIGHT_WRIST_DIST_x__c3__lag_1
297,1,LEFT_HIP_POS_x__cid_ce__normalize_True
298,1,LEFT_HIP_POS_y__abs_energy
321,1,LEFT_HIP_DIST_y__autocorrelation__lag_1
324,1,LEFT_HIP_DIST_y__cid_ce__normalize_True
328,1,RIGHT_HIP_POS_x__standard_deviation
334,1,RIGHT_HIP_POS_y__abs_energy
335,1,RIGHT_HIP_POS_y__kurtosis
344,1,RIGHT_HIP_DIST_x__kurtosis
353,1,RIGHT_HIP_DIST_y__kurtosis
354,1,RIGHT_HIP_DIST_y__mean
360,1,RIGHT_HIP_DIST_y__cid_ce__normalize_True
370,1,LEFT_KNEE_POS_y__abs_energy
375,1,LEFT_KNEE_POS_y__autocorrelation__lag_1
378,1,LEFT_KNEE_POS_y__cid_ce__normalize_True
384,1,LEFT_KNEE_DIST_x__autocorrelation__lag_1
386,1,LEFT_KNEE_DIST_x__c3__lag_1
395,1,LEFT_KNEE_DIST_y__c3__lag_1
396,1,LEFT_KNEE_DIST_y__cid_ce__normalize_True
400,1,RIGHT_KNEE_POS_x__standard_deviation
406,1,RIGHT_KNEE_POS_y__abs_energy
414,1,RIGHT_KNEE_POS_y__cid_ce__normalize_True
422,1,RIGHT_KNEE_DIST_x__c3__lag_1
425,1,RIGHT_KNEE_DIST_y__kurtosis
431,1,RIGHT_KNEE_DIST_y__c3__lag_1
443,1,LEFT_ANKLE_POS_y__kurtosis
446,1,LEFT_ANKLE_POS_y__maximum
450,1,LEFT_ANKLE_POS_y__cid_ce__normalize_True
456,1,LEFT_ANKLE_DIST_x__autocorrelation__lag_1
469,1,RIGHT_ANKLE_POS_x__abs_energy
476,1,RIGHT_ANKLE_POS_x__c3__lag_1
479,1,RIGHT_ANKLE_POS_y__kurtosis
482,1,RIGHT_ANKLE_POS_y__maximum
487,1,RIGHT_ANKLE_DIST_x__abs_energy
492,1,RIGHT_ANKLE_DIST_x__autocorrelation__lag_1
495,1,RIGHT_ANKLE_DIST_x__cid_ce__normalize_True
497,1,RIGHT_ANKLE_DIST_y__kurtosis
498,1,RIGHT_ANKLE_DIST_y__mean
503,1,RIGHT_ANKLE_DIST_y__c3__lag_1
18,2,LEFT_EYE_OUTER_POS_y__cid_ce__normalize_True
29,2,LEFT_EYE_OUTER_DIST_y__kurtosis
62,2,RIGHT_EYE_OUTER_DIST_x__c3__lag_1
167,2,LEFT_ELBOW_DIST_x__maximum
215,2,RIGHT_ELBOW_DIST_y__c3__lag_1
218,2,LEFT_WRIST_POS_x__kurtosis
230,2,LEFT_WRIST_POS_y__maximum
239,2,LEFT_WRIST_DIST_x__maximum
243,2,LEFT_WRIST_DIST_x__cid_ce__normalize_True
273,2,RIGHT_WRIST_DIST_x__mean
274,2,RIGHT_WRIST_DIST_x__standard_deviation
285,2,RIGHT_WRIST_DIST_y__autocorrelation__lag_1
319,2,LEFT_HIP_DIST_y__standard_deviation
326,2,RIGHT_HIP_POS_x__kurtosis
339,2,RIGHT_HIP_POS_y__autocorrelation__lag_1
442,2,LEFT_ANKLE_POS_y__abs_energy
452,2,LEFT_ANKLE_DIST_x__kurtosis
455,2,LEFT_ANKLE_DIST_x__maximum
461,2,LEFT_ANKLE_DIST_y__kurtosis
464,2,LEFT_ANKLE_DIST_y__maximum
474,2,RIGHT_ANKLE_POS_x__autocorrelation__lag_1
478,2,RIGHT_ANKLE_POS_y__abs_energy
480,2,RIGHT_ANKLE_POS_y__mean
486,2,RIGHT_ANKLE_POS_y__cid_ce__normalize_True
501,2,RIGHT_ANKLE_DIST_y__autocorrelation__lag_1
32,3,LEFT_EYE_OUTER_DIST_y__maximum
56,3,RIGHT_EYE_OUTER_DIST_x__kurtosis
87,3,LEFT_SHOULDER_POS_y__autocorrelation__lag_1
96,3,LEFT_SHOULDER_DIST_x__autocorrelation__lag_1
116,3,RIGHT_SHOULDER_POS_x__c3__lag_1
164,3,LEFT_ELBOW_DIST_x__kurtosis
171,3,LEFT_ELBOW_DIST_x__cid_ce__normalize_True
193,3,RIGHT_ELBOW_POS_y__standard_deviation
206,3,RIGHT_ELBOW_DIST_x__c3__lag_1
212,3,RIGHT_ELBOW_DIST_y__maximum
228,3,LEFT_WRIST_POS_y__mean
236,3,LEFT_WRIST_DIST_x__kurtosis
261,3,RIGHT_WRIST_POS_x__cid_ce__normalize_True
272,3,RIGHT_WRIST_DIST_x__kurtosis
333,3,RIGHT_HIP_POS_x__cid_ce__normalize_True
362,3,LEFT_KNEE_POS_x__kurtosis
390,3,LEFT_KNEE_DIST_y__mean
393,3,LEFT_KNEE_DIST_y__autocorrelation__lag_1
407,3,RIGHT_KNEE_POS_y__kurtosis
410,3,RIGHT_KNEE_POS_y__maximum
417,3,RIGHT_KNEE_DIST_x__mean
426,3,RIGHT_KNEE_DIST_y__mean
445,3,LEFT_ANKLE_POS_y__standard_deviation
470,3,RIGHT_ANKLE_POS_x__kurtosis
494,3,RIGHT_ANKLE_DIST_x__c3__lag_1
19,4,LEFT_EYE_OUTER_DIST_x__abs_energy
23,4,LEFT_EYE_OUTER_DIST_x__maximum
24,4,LEFT_EYE_OUTER_DIST_x__autocorrelation__lag_1
26,4,LEFT_EYE_OUTER_DIST_x__c3__lag_1
33,4,LEFT_EYE_OUTER_DIST_y__autocorrelation__lag_1
134,4,RIGHT_SHOULDER_DIST_x__c3__lag_1
144,4,RIGHT_SHOULDER_DIST_y__cid_ce__normalize_True
165,4,LEFT_ELBOW_DIST_x__mean
170,4,LEFT_ELBOW_DIST_x__c3__lag_1
179,4,LEFT_ELBOW_DIST_y__c3__lag_1
200,4,RIGHT_ELBOW_DIST_x__kurtosis
203,4,RIGHT_ELBOW_DIST_x__maximum
219,4,LEFT_WRIST_POS_x__mean
248,4,LEFT_WRIST_DIST_y__maximum
279,4,RIGHT_WRIST_DIST_x__cid_ce__normalize_True
287,4,RIGHT_WRIST_DIST_y__c3__lag_1
308,4,LEFT_HIP_DIST_x__kurtosis
310,4,LEFT_HIP_DIST_x__standard_deviation
318,4,LEFT_HIP_DIST_y__mean
391,4,LEFT_KNEE_DIST_y__standard_deviation
420,4,RIGHT_KNEE_DIST_x__autocorrelation__lag_1
436,4,LEFT_ANKLE_POS_x__standard_deviation
451,4,LEFT_ANKLE_DIST_x__abs_energy
465,4,LEFT_ANKLE_DIST_y__autocorrelation__lag_1
491,4,RIGHT_ANKLE_DIST_x__maximum
49,5,RIGHT_EYE_OUTER_POS_y__standard_deviation
104,5,LEFT_SHOULDER_DIST_y__maximum
123,5,RIGHT_SHOULDER_POS_y__autocorrelation__lag_1
148,5,LEFT_ELBOW_POS_x__standard_deviation
162,5,LEFT_ELBOW_POS_y__cid_ce__normalize_True
173,5,LEFT_ELBOW_DIST_y__kurtosis
198,5,RIGHT_ELBOW_POS_y__cid_ce__normalize_True
242,5,LEFT_WRIST_DIST_x__c3__lag_1
257,5,RIGHT_WRIST_POS_x__maximum
265,5,RIGHT_WRIST_POS_y__standard_deviation
281,5,RIGHT_WRIST_DIST_y__kurtosis
290,5,LEFT_HIP_POS_x__kurtosis
306,5,LEFT_HIP_POS_y__cid_ce__normalize_True
314,5,LEFT_HIP_DIST_x__c3__lag_1
342,5,RIGHT_HIP_POS_y__cid_ce__normalize_True
356,5,RIGHT_HIP_DIST_y__maximum
357,5,RIGHT_HIP_DIST_y__autocorrelation__lag_1
380,5,LEFT_KNEE_DIST_x__kurtosis
409,5,RIGHT_KNEE_POS_y__standard_deviation
429,5,RIGHT_KNEE_DIST_y__autocorrelation__lag_1
447,5,LEFT_ANKLE_POS_y__autocorrelation__lag_1
462,5,LEFT_ANKLE_DIST_y__mean
468,5,LEFT_ANKLE_DIST_y__cid_ce__normalize_True
489,5,RIGHT_ANKLE_DIST_x__mean
500,5,RIGHT_ANKLE_DIST_y__maximum
11,6,LEFT_EYE_OUTER_POS_y__kurtosis
15,6,LEFT_EYE_OUTER_POS_y__autocorrelation__lag_1
30,6,LEFT_EYE_OUTER_DIST_y__mean
46,6,RIGHT_EYE_OUTER_POS_y__abs_energy
74,6,LEFT_SHOULDER_POS_x__kurtosis
103,6,LEFT_SHOULDER_DIST_y__standard_deviation
126,6,RIGHT_SHOULDER_POS_y__cid_ce__normalize_True
146,6,LEFT_ELBOW_POS_x__kurtosis
166,6,LEFT_ELBOW_DIST_x__standard_deviation
182,6,RIGHT_ELBOW_POS_x__kurtosis
245,6,LEFT_WRIST_DIST_y__kurtosis
246,6,LEFT_WRIST_DIST_y__mean
267,6,RIGHT_WRIST_POS_y__autocorrelation__lag_1
270,6,RIGHT_WRIST_POS_y__cid_ce__normalize_True
288,6,RIGHT_WRIST_DIST_y__cid_ce__normalize_True
343,6,RIGHT_HIP_DIST_x__abs_energy
347,6,RIGHT_HIP_DIST_x__maximum
398,6,RIGHT_KNEE_POS_x__kurtosis
402,6,RIGHT_KNEE_POS_x__autocorrelation__lag_1
419,6,RIGHT_KNEE_DIST_x__maximum
439,6,LEFT_ANKLE_POS_x__approximate_entropy__m_20__r_0.05
441,6,LEFT_ANKLE_POS_x__cid_ce__normalize_True
458,6,LEFT_ANKLE_DIST_x__c3__lag_1
467,6,LEFT_ANKLE_DIST_y__c3__lag_1
488,6,RIGHT_ANKLE_DIST_x__kurtosis
14,7,LEFT_EYE_OUTER_POS_y__maximum
21,7,LEFT_EYE_OUTER_DIST_x__mean
67,7,RIGHT_EYE_OUTER_DIST_y__standard_deviation
71,7,RIGHT_EYE_OUTER_DIST_y__c3__lag_1
95,7,LEFT_SHOULDER_DIST_x__maximum
101,7,LEFT_SHOULDER_DIST_y__kurtosis
132,7,RIGHT_SHOULDER_DIST_x__autocorrelation__lag_1
255,7,RIGHT_WRIST_POS_x__mean
275,7,RIGHT_WRIST_DIST_x__maximum
280,7,RIGHT_WRIST_DIST_y__abs_energy
299,7,LEFT_HIP_POS_y__kurtosis
312,7,LEFT_HIP_DIST_x__autocorrelation__lag_1
316,7,LEFT_HIP_DIST_y__abs_energy
323,7,LEFT_HIP_DIST_y__c3__lag_1
330,7,RIGHT_HIP_POS_x__autocorrelation__lag_1
350,7,RIGHT_HIP_DIST_x__c3__lag_1
388,7,LEFT_KNEE_DIST_y__abs_energy
401,7,RIGHT_KNEE_POS_x__maximum
423,7,RIGHT_KNEE_DIST_x__cid_ce__normalize_True
428,7,RIGHT_KNEE_DIST_y__maximum
432,7,RIGHT_KNEE_DIST_y__cid_ce__normalize_True
434,7,LEFT_ANKLE_POS_x__kurtosis
463,7,LEFT_ANKLE_DIST_y__standard_deviation
473,7,RIGHT_ANKLE_POS_x__maximum
496,7,RIGHT_ANKLE_DIST_y__abs_energy
6,8,LEFT_EYE_OUTER_POS_x__autocorrelation__lag_1
51,8,RIGHT_EYE_OUTER_POS_y__autocorrelation__lag_1
66,8,RIGHT_EYE_OUTER_DIST_y__mean
72,8,RIGHT_EYE_OUTER_DIST_y__cid_ce__normalize_True
89,8,LEFT_SHOULDER_POS_y__c3__lag_1
92,8,LEFT_SHOULDER_DIST_x__kurtosis
121,8,RIGHT_SHOULDER_POS_y__standard_deviation
128,8,RIGHT_SHOULDER_DIST_x__kurtosis
